listing_number,property_type,furnished,pets_allowed,backup_water,bedrooms,bathrooms,kitchen,lounge,dining_room,parking,garden,pool,garage,erf_size (m²),floor_area (m²),suburb,city,province,price_type,price (ZAR)
115295115,House,No,No,No,3,1,1,1,1,1,2,0,2,354.0,200.0,Tyu Tyu North,Bhisho,Eastern Cape,Per Month,7000.0
115332086,House,No,No,Unknown,3,1,1,1,1,1,1,0,2,354.0,200.0,Bhisho Central,Bhisho,Eastern Cape,Per Month,7000.0
115210602,House,No,Yes,Unknown,2,1,1,1,1,1,1,0,2,354.0,200.0,Tyu Tyu North,Bhisho,Eastern Cape,Per Month,5300.0
115555490,House,No,Yes,Unknown,3,1,1,1,1,3,2,0,2,354.0,200.0,Bisho Park,Bhisho,Eastern Cape,Per Month,7500.0
115525482,House,Unknown,Yes,Unknown,3,2,1,1,1,2,2,0,2,354.0,200.0,Bisho Park,Bhisho,Eastern Cape,Per Month,5500.0
115649514,Townhouse,No,Yes,Unknown,4,3,1,1,1,1,1,1,1,354.0,200.0,Groenvlei SH,Bloemfontein,Free State,Per Month,16000.0
115626383,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,550.0,700.0,Hamilton,Bloemfontein,Free State,Per Month,28000.0
115626381,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,354.0,200.0,Hamilton,Bloemfontein,Free State,Per Month,86000.0
115103630,Townhouse,No,No,Unknown,3,2,1,1,1,2,1,0,2,354.0,165.0,Shellyvale,Bloemfontein,Free State,Per Month,13990.0
113730436,Townhouse,No,Yes,Unknown,3,2,1,1,1,2,1,0,1,354.0,192.0,Woodland Hills Bergendal,Bloemfontein,Free State,Per Month,18000.0
115668917,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,720.0,720.0,Hilton,Bloemfontein,Free State,Per Month,39600.0
115647519,House,No,Yes,Unknown,3,1,1,1,1,2,2,0,2,354.0,200.0,Mangaung,Bloemfontein,Free State,Per Month,6800.0
108800277,House,No,Yes,Unknown,4,2,1,1,1,2,1,1,2,354.0,200.0,Olive Hill,Bloemfontein,Free State,Per Month,13650.0
115551782,Townhouse,No,Yes,Unknown,2,1,1,1,1,2,1,0,1,354.0,86.0,Universitas,Bloemfontein,Free State,Per Month,7800.0
114815732,House,Unknown,Yes,Unknown,3,2,1,1,1,1,1,0,2,350.0,78.0,Grasslands,Bloemfontein,Free State,Per Month,7500.0
115671434,House,Yes,No,Unknown,1,1,1,1,1,1,2,0,2,354.0,200.0,Universitas,Bloemfontein,Free State,Per Month,5400.0
115683484,House,No,Yes,Unknown,2,1,1,1,1,2,2,0,1,354.0,156.0,Langenhovenpark,Bloemfontein,Free State,Per Month,7500.0
114102348,Apartment / Flat,No,No,Unknown,1,1,1,1,1,4,1,0,1,354.0,65.0,Universitas,Bloemfontein,Free State,Per Month,6100.0
115604711,Apartment / Flat,No,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,58.0,Generaal De Wet,Bloemfontein,Free State,Per Month,6000.0
115697247,Apartment / Flat,Unknown,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,62.0,Langenhovenpark,Bloemfontein,Free State,Per Month,6000.0
115657698,House,No,No,Unknown,5,4,1,1,1,3,2,0,2,354.0,200.0,Universitas,Bloemfontein,Free State,Per Month,20500.0
114502221,Townhouse,No,Yes,Unknown,2,2,1,1,1,1,1,0,1,179.5,88.0,Langenhovenpark,Bloemfontein,Free State,Per Month,8200.0
115709920,Townhouse,No,Yes,Unknown,2,2,1,1,1,1,1,0,2,179.5,101.28571428571429,Langenhovenpark,Bloemfontein,Free State,Per Month,9500.0
115696635,House,No,Yes,Unknown,1,1,1,1,1,2,1,0,2,354.0,197.0,Wilgehof,Bloemfontein,Free State,Per Month,5000.0
115640212,Apartment / Flat,Unknown,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,55.0,Universitas,Bloemfontein,Free State,Per Month,8600.0
114305942,Apartment / Flat,No,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,90.0,Langenhovenpark,Bloemfontein,Free State,Per Month,7650.0
115680593,Townhouse,Unknown,No,Unknown,3,2,1,1,1,1,1,0,2,354.0,200.0,Wild Olive Estate,Bloemfontein,Free State,Per Month,14950.0
112141731,Apartment / Flat,Yes,No,Unknown,1,1,1,1,1,1,1,1,1,354.0,200.0,Fleurdal,Bloemfontein,Free State,Per Month,6500.0
115630602,Townhouse,Unknown,No,Unknown,2,1,1,1,1,1,1,0,2,179.5,101.28571428571429,Langenhovenpark,Bloemfontein,Free State,Per Month,7800.0
114380945,Townhouse,No,Yes,Unknown,2,1,1,1,1,1,1,0,1,354.0,128.0,Pellissier,Bloemfontein,Free State,Per Month,7300.0
115640343,Apartment / Flat,Unknown,No,Unknown,2,1,1,1,1,2,1,0,1,354.0,120.0,Park West,Bloemfontein,Free State,Per Month,5950.0
115681540,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,160.0,160.0,Westdene,Bloemfontein,Free State,Per Month,22400.0
115564710,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,480.0,320.0,Hamilton,Bloemfontein,Free State,Per Month,11000.0
115634586,Apartment / Flat,No,Yes,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Fleurdal,Bloemfontein,Free State,Per Month,5950.0
115630181,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,441.0,441.0,Quaggafontein,Bloemfontein,Free State,Per Month,34134.0
111570023,Townhouse,Unknown,Yes,Unknown,3,2,1,1,1,2,1,0,1,200.0,88.0,Quaggafontein,Bloemfontein,Free State,Per Month,7000.0
115561745,Townhouse,No,No,Unknown,3,1,1,1,1,1,1,0,1,109.0,101.28571428571429,Langenhovenpark,Bloemfontein,Free State,Per Month,8450.0
115103663,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,133.0,133.0,Willows,Bloemfontein,Free State,Per Month,2700.0
112605852,Townhouse,No,Yes,Unknown,3,2,1,1,1,2,1,0,1,354.0,200.0,Douglas Valley,Bloemfontein,Free State,Per Month,8900.0
115682119,Apartment / Flat,No,No,Unknown,1,1,1,1,1,2,1,0,1,354.0,200.0,Bayswater,Bloemfontein,Free State,Per Month,5500.0
115472320,Apartment / Flat,Yes,No,Unknown,2,2,1,1,1,1,1,0,1,133.0,133.0,Willows,Bloemfontein,Free State,Per Month,3800.0
115629715,Townhouse,Unknown,No,Unknown,3,2,1,1,1,1,1,0,2,354.0,200.0,Woodland Hills Wildlife Estate,Bloemfontein,Free State,Per Month,20000.0
115527185,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,499.0,250.0,Oos Einde,Bloemfontein,Free State,Per Month,15000.0
115716582,Apartment / Flat,Unknown,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Uitsig,Bloemfontein,Free State,Per Month,4800.0
115653422,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,354.0,460.0,Oranjesig,Bloemfontein,Free State,Per Month,60000.0
113429622,Apartment / Flat,No,No,No,2,1,1,1,1,1,1,1,1,354.0,64.0,Langenhovenpark,Bloemfontein,Free State,Per Month,6150.0
115671537,House,Yes,No,Unknown,1,1,1,1,1,1,2,0,2,354.0,200.0,Universitas,Bloemfontein,Free State,Per Month,6500.0
115541234,House,No,Yes,Yes,2,2,1,1,1,2,2,0,2,354.0,300.0,Maselspoort,Bloemfontein,Free State,Per Month,11250.0
115584338,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,435.0,330.0,Westdene,Bloemfontein,Free State,Per Month,52800.0
115678324,Townhouse,Unknown,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,200.0,Hillside,Bloemfontein,Free State,Per Month,8375.0
115682554,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,543.0,543.0,Westdene,Bloemfontein,Free State,Per m²,160.0
115416804,Commercial,Unknown,No,Unknown,1,3,2,1,1,3,5,0,5,612.9583333333334,283.0,Westdene,Johannesburg,Gauteng,Per m²,140.0
115565934,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,238.44444444444446,50.0,Westdene,Bloemfontein,Free State,Per Month,7000.0
115674897,House,No,No,Unknown,1,3,1,1,1,1,2,0,2,496.3333333333333,123.0,Westdene,Bloemfontein,Free State,Per Month,2900.0
112742570,House,Unknown,Yes,Yes,3,1,1,1,1,2,2,0,1,354.0,200.0,Bayswater,Bloemfontein,Free State,Per Month,8250.0
115719677,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,133.0,133.0,Willows,Bloemfontein,Free State,Per Month,4350.0
115687550,House,No,Yes,Unknown,3,2,1,1,1,3,1,0,2,354.0,200.0,Bainsvlei,Bloemfontein,Free State,Per Month,12800.0
115644826,House,No,Yes,Unknown,2,1,1,1,1,2,2,0,2,354.0,156.0,Langenhovenpark,Bloemfontein,Free State,Per Month,9345.0
115714089,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,92.5,Universitas,Bloemfontein,Free State,Per Month,5600.0
115640169,House,Yes,No,No,1,1,1,1,1,1,1,0,2,354.0,200.0,Universitas,Bloemfontein,Free State,Per Month,4900.0
115601750,Townhouse,Unknown,No,Unknown,1,2,1,1,1,1,1,0,1,354.0,200.0,Groenvlei SH,Bloemfontein,Free State,Per Month,10500.0
115677129,House,No,No,Unknown,1,3,1,1,1,1,2,0,2,496.3333333333333,123.0,Westdene,Bloemfontein,Free State,Per Month,2500.0
115721179,Apartment / Flat,No,No,Unknown,2,1,1,1,1,1,1,0,1,81.0,200.0,Fauna,Bloemfontein,Free State,Per Month,7000.0
115446709,House,No,Yes,Unknown,5,4,1,1,1,2,2,0,2,354.0,384.0,Woodland Hills Bergendal,Bloemfontein,Free State,Per Month,29000.0
115727102,Farm,No,Yes,Unknown,4,3,1,1,0,2,0,0,0,354.0,200.0,Olive Hill,Bloemfontein,Free State,Per Month,12450.0
115590761,House,No,Yes,Unknown,4,2,1,1,1,2,2,0,2,354.0,276.0,Pellissier,Bloemfontein,Free State,Per Month,13220.0
115709843,Townhouse,No,Yes,Unknown,2,1,1,1,1,1,1,0,2,179.5,101.28571428571429,Langenhovenpark,Bloemfontein,Free State,Per Month,7900.0
112454971,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,465.0,464.0,Oos Einde,Bloemfontein,Free State,Per Month,27900.0
115616288,Apartment / Flat,Unknown,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,200.0,Hilton,Bloemfontein,Free State,Per Month,5900.0
114265596,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,597.3333333333334,295.0,Oranjesig,Bloemfontein,Free State,Per Month,32000.0
111684984,House,Unknown,Yes,Unknown,2,2,1,1,1,1,1,1,2,354.0,156.0,Langenhovenpark,Bloemfontein,Free State,Per Month,9375.0
115584189,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,330.0,330.0,Westdene,Bloemfontein,Free State,Per Month,52800.0
115652662,Apartment / Flat,Unknown,No,Unknown,2,2,1,1,1,1,1,0,1,354.0,62.0,Langenhovenpark,Bloemfontein,Free State,Per Month,6430.0
115690008,Apartment / Flat,No,Yes,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Hospitaalpark,Bloemfontein,Free State,Per Month,4300.0
114765656,Apartment / Flat,No,Yes,Unknown,2,1,1,1,1,1,1,0,1,354.0,200.0,Wilgehof,Bloemfontein,Free State,Per Month,6500.0
115533255,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,280.0,108.0,Hilton,Bloemfontein,Free State,Per Month,7100.0
115293533,Apartment / Flat,No,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,200.0,Navalsig,Bloemfontein,Free State,Per Month,6000.0
115675572,House,No,No,Unknown,1,3,1,1,1,1,2,0,2,496.3333333333333,123.0,Westdene,Bloemfontein,Free State,Per Month,2700.0
115634125,Apartment / Flat,No,No,Unknown,2,1,1,1,1,1,1,0,1,200.0,64.5,Pellissier,Bloemfontein,Free State,Per Month,6300.0
114464451,Apartment / Flat,Unknown,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,58.0,Generaal De Wet,Bloemfontein,Free State,Per Month,5400.0
114515168,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Dan Pienaar,Bloemfontein,Free State,Per Month,5500.0
115641354,Apartment / Flat,No,No,Unknown,2,1,1,1,1,1,1,0,1,60.0,200.0,Lourierpark,Bloemfontein,Free State,Per Month,6500.0
115481424,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,354.0,450.0,Hilton,Bloemfontein,Free State,Per m²,45.0
115690096,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,530.0,270.0,Bloemfontein Central,Bloemfontein,Free State,Per Month,53650.0
115685273,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,100.0,80.0,Heuwelsig,Bloemfontein,Free State,Per Month,4320.0
115618636,House,Unknown,Yes,Unknown,4,2,1,1,1,1,1,1,2,354.0,200.0,Olive Hill,Bloemfontein,Free State,Per Month,13300.0
112121634,Townhouse,No,No,Unknown,2,1,1,1,1,1,1,0,1,250.0,68.0,Hospitaalpark,Bloemfontein,Free State,Per Month,6600.0
115605004,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,220.0,220.0,Hamilton,Bloemfontein,Free State,Per Month,11000.0
115676691,Townhouse,Unknown,No,Unknown,3,2,1,1,1,1,1,0,1,354.0,200.0,Helicon Heights,Bloemfontein,Free State,Per Month,13000.0
115531339,House,No,Yes,Unknown,4,2,1,1,1,2,1,1,2,354.0,156.0,Langenhovenpark,Bloemfontein,Free State,Per Month,13500.0
115704155,Apartment / Flat,Unknown,No,Unknown,2,1,1,1,1,1,1,0,1,145.0,76.5,Westdene,Bloemfontein,Free State,Per Month,5080.0
114649954,Commercial,Unknown,No,Unknown,1,3,1,1,1,3,5,0,5,354.0,200.0,Groenvlei SH,Bloemfontein,Free State,Per Month,17000.0
115605063,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,300.0,300.0,Hamilton,Bloemfontein,Free State,Per Month,13500.0
115709980,Townhouse,No,Yes,Unknown,2,1,1,1,1,1,1,0,1,179.5,101.28571428571429,Langenhovenpark,Bloemfontein,Free State,Per Month,7900.0
115482281,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,238.44444444444446,127.0,Westdene,Bloemfontein,Free State,Per Month,12000.0
115583955,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,202.0,202.0,Westdene,Bloemfontein,Free State,Per Month,24500.0
115668115,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Gardeniapark,Bloemfontein,Free State,Per Month,4775.0
115661475,Townhouse,No,No,Unknown,3,2,1,1,1,2,1,0,1,354.0,200.0,Hillside View,Bloemfontein,Free State,Per Month,8900.0
115612841,Apartment / Flat,No,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,58.0,Generaal De Wet,Bloemfontein,Free State,Per Month,5000.0
115713352,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,646.0,500.0,Langenhovenpark,Bloemfontein,Free State,Per Month,47000.0
115644347,Townhouse,Unknown,No,Unknown,2,2,1,1,1,1,1,1,2,354.0,165.0,Shellyvale,Bloemfontein,Free State,Per Month,9500.0
115710173,Apartment / Flat,No,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,200.0,Dan Pienaar,Bloemfontein,Free State,Per Month,8000.0
115472114,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,249.5,85.0,Bloemfontein Central,Bloemfontein,Free State,Per Month,12000.0
115472064,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,249.5,64.0,Bloemfontein Central,Bloemfontein,Free State,Per Month,13000.0
113690780,House,No,Yes,Unknown,4,2,1,1,1,2,2,0,2,354.0,239.0,Dan Pienaar,Bloemfontein,Free State,Per Month,15500.0
115673983,House,No,Yes,Unknown,3,2,1,1,1,1,1,0,2,354.0,200.0,Turflaagte,Bloemfontein,Free State,Per Month,10000.0
115568062,Townhouse,No,Yes,Unknown,3,2,1,1,1,1,1,0,1,354.0,200.0,Kiepersol,Bloemfontein,Free State,Per Month,15500.0
115629214,House,No,Yes,Unknown,1,1,1,1,1,2,2,0,2,354.0,64.0,Hospitaalpark,Bloemfontein,Free State,Per Month,4720.0
115637068,Townhouse,No,No,Unknown,3,2,1,1,1,1,1,0,2,354.0,140.33333333333334,Woodland Hills Wildlife Estate,Bloemfontein,Free State,Per Month,13500.0
115482240,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,536.0,215.0,Bloemfontein Central,Bloemfontein,Free State,Per m²,50.0
115541065,Apartment / Flat,No,No,No,0,1,1,1,1,1,1,0,1,354.0,200.0,Bainsvlei,Bloemfontein,Free State,Per Month,4000.0
110695280,Apartment / Flat,Yes,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,62.0,Langenhovenpark,Bloemfontein,Free State,Per Month,4850.0
115680636,Apartment / Flat,Unknown,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,200.0,Navalsig,Bloemfontein,Free State,Per Month,5900.0
115694288,Townhouse,No,No,Unknown,4,4,1,1,1,3,1,0,1,179.5,101.28571428571429,Langenhovenpark,Bloemfontein,Free State,Per Month,11000.0
115588481,Townhouse,No,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,128.0,Pellissier,Bloemfontein,Free State,Per Month,7500.0
115674901,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,480.0,300.0,Hamilton,Bloemfontein,Free State,Per Month,14300.0
115472666,Industrial,No,No,Unknown,2,2,1,0,0,0,0,0,0,480.0,250.0,Hamilton,Bloemfontein,Free State,Per Month,13000.0
114336175,Townhouse,Unknown,No,Unknown,2,2,1,1,1,1,1,0,1,179.5,101.28571428571429,Langenhovenpark,Bloemfontein,Free State,Per Month,8500.0
115539939,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,354.0,127.0,Navalsig,Bloemfontein,Free State,Per m²,150.0
115718716,Apartment / Flat,Unknown,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,62.0,Langenhovenpark,Bloemfontein,Free State,Per Month,4350.0
115674416,Apartment / Flat,Unknown,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Dan Pienaar,Bloemfontein,Free State,Per Month,5500.0
115637675,Apartment / Flat,No,Yes,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Fleurdal,Bloemfontein,Free State,Per Month,5950.0
114341516,House,No,Yes,Yes,3,2,1,1,1,2,2,0,4,354.0,276.0,Pellissier,Bloemfontein,Free State,Per Month,14000.0
115582679,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,700.0,700.0,Hamilton,Bloemfontein,Free State,Per Month,28000.0
115582462,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,354.0,200.0,Hamilton,Bloemfontein,Free State,Per Month,90000.0
115682374,Apartment / Flat,Unknown,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,200.0,Navalsig,Bloemfontein,Free State,Per Month,5950.0
115532976,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,280.0,127.0,Hilton,Bloemfontein,Free State,Per Month,11900.0
115584006,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,218.0,218.0,Westdene,Bloemfontein,Free State,Per Month,27400.0
115597300,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,133.0,133.0,Willows,Bloemfontein,Free State,Per Month,2900.0
115574687,Townhouse,Unknown,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Willows,Bloemfontein,Free State,Per Month,5100.0
115648208,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,902.0,70.0,Westdene,Bloemfontein,Free State,Per Month,6500.0
115574395,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,600.0,600.0,Hilton,Bloemfontein,Free State,Per Month,39000.0
115668942,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Hospitaalpark,Bloemfontein,Free State,Per Month,3300.0
115583069,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,950.0,950.0,Oos Einde,Bloemfontein,Free State,Per Month,112800.0
115576530,Apartment / Flat,Unknown,No,Unknown,2,2,1,1,1,1,1,0,1,354.0,200.0,Lilyvale S H,Bloemfontein,Free State,Per Month,8100.0
115558213,House,No,No,Unknown,3,2,1,1,1,2,2,0,2,354.0,200.0,Grasslands,Bloemfontein,Free State,Per Month,6200.0
115457832,House,Unknown,Yes,Unknown,4,3,1,1,1,2,1,1,2,354.0,384.0,Woodland Hills Bergendal,Bloemfontein,Free State,Per Month,29000.0
115565401,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,853.1666666666666,853.1666666666666,Quaggafontein,Bloemfontein,Free State,Per Month,127670.0
115565342,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,853.1666666666666,853.1666666666666,Quaggafontein,Bloemfontein,Free State,Per Month,139140.0
115617593,Townhouse,Unknown,No,Unknown,3,2,1,1,1,1,1,0,2,354.0,140.33333333333334,Woodland Hills Wildlife Estate,Bloemfontein,Free State,Per Month,15550.0
115333903,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,238.44444444444446,72.0,Westdene,Johannesburg,Gauteng,Per Month,10167.0
114851662,House,No,Yes,Unknown,3,2,1,1,1,1,1,0,2,354.0,128.0,Fichardt Park,Bloemfontein,Free State,Per Month,12000.0
115644444,Townhouse,Unknown,No,Unknown,2,2,1,1,1,1,1,0,1,354.0,140.33333333333334,Woodland Hills Wildlife Estate,Bloemfontein,Free State,Per Month,13125.0
115565139,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,92.5,Universitas,Bloemfontein,Free State,Per Month,4500.0
115649175,Townhouse,Unknown,No,Unknown,2,2,1,1,1,1,1,0,1,354.0,86.0,Universitas,Bloemfontein,Free State,Per Month,8500.0
115565437,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,970.0,970.0,Quaggafontein,Bloemfontein,Free State,Per Month,73280.0
115576279,Apartment / Flat,No,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,200.0,Gardeniapark,Bloemfontein,Free State,Per Month,5600.0
114402767,House,No,Yes,Yes,3,1,1,1,1,1,1,0,2,800.0,200.0,Wilgehof,Bloemfontein,Free State,Per Month,11000.0
115534425,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,354.0,210.0,Brandwag,Bloemfontein,Free State,Per m²,150.0
108345774,House,Unknown,Yes,Unknown,1,1,1,1,1,1,2,0,2,299.0,200.0,Mangaung,Bloemfontein,Free State,Per Month,2400.0
115709924,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,380.0,380.0,Brandwag,Bloemfontein,Free State,Per Month,45000.0
115593901,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Bainsvlei,Bloemfontein,Free State,Per Month,3800.0
115625897,House,No,Yes,Unknown,3,2,1,1,1,2,2,0,2,310.0,200.0,Bloemspruit,Bloemfontein,Free State,Per Month,9500.0
115537460,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,354.0,279.0,Estoire,Bloemfontein,Free State,Per m²,80.0
115541038,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,354.0,76.0,Navalsig,Bloemfontein,Free State,Per m²,150.0
115418837,House,No,Yes,Unknown,2,2,1,1,1,2,1,0,2,322.0,78.0,Grasslands,Bloemfontein,Free State,Per Month,7345.0
115438606,House,Yes,No,No,1,1,1,1,1,2,1,0,2,354.0,200.0,Park West,Bloemfontein,Free State,Per Month,4200.0
115424910,Townhouse,No,No,Unknown,3,1,1,1,1,1,1,0,1,354.0,84.0,Estoire,Bloemfontein,Free State,Per Month,7850.0
109389368,Townhouse,No,Yes,Unknown,3,2,1,1,1,1,1,0,1,354.0,200.0,Kellys View,Bloemfontein,Free State,Per Month,8200.0
115533692,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,280.0,197.0,Hilton,Bloemfontein,Free State,Per Month,12850.0
115662511,Apartment / Flat,No,Yes,Unknown,1,1,1,1,1,1,1,0,1,354.0,62.0,Langenhovenpark,Bloemfontein,Free State,Per Month,4500.0
110877540,Townhouse,Unknown,No,Unknown,3,2,1,1,1,2,1,0,1,200.0,88.0,Quaggafontein,Bloemfontein,Free State,Per Month,9000.0
115583202,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,84.0,84.0,Westdene,Bloemfontein,Free State,Per Month,10900.0
115674680,Apartment / Flat,Unknown,No,Unknown,1,1,1,1,1,1,1,0,1,133.0,133.0,Willows,Bloemfontein,Free State,Per Month,2800.0
115565421,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,853.1666666666666,853.1666666666666,Quaggafontein,Bloemfontein,Free State,Per Month,84158.0
115677502,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Uitsig,Bloemfontein,Free State,Per Month,3950.0
115486027,House,No,No,Unknown,2,2,1,1,1,2,1,0,2,81.0,200.0,Shellyvale,Bloemfontein,Free State,Per Month,8300.0
115437470,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,238.44444444444446,108.0,Westdene,Bloemfontein,Free State,Per Month,14300.0
115637843,Apartment / Flat,No,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Fichardt Park,Bloemfontein,Free State,Per Month,5800.0
115568954,Townhouse,No,No,Unknown,2,1,1,1,1,1,1,0,1,179.5,98.0,Langenhovenpark,Bloemfontein,Free State,Per Month,7500.0
115601285,Townhouse,No,No,Unknown,2,2,1,1,1,1,1,0,1,149.0,123.0,Heuwelsig,Bloemfontein,Free State,Per Month,11800.0
115678201,Townhouse,Unknown,No,Unknown,2,1,1,1,1,1,1,0,1,354.0,200.0,Hillside,Bloemfontein,Free State,Per Month,7650.0
115445360,House,No,Yes,Unknown,4,2,1,1,1,1,2,0,2,354.0,239.0,Pellissier,Bloemfontein,Free State,Per Month,14222.0
115496866,House,Unknown,Yes,Unknown,4,4,1,1,2,2,1,1,3,995.0,200.0,Waverley,Bloemfontein,Free State,Per Month,23000.0
115582892,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,100.0,100.0,Westdene,Bloemfontein,Free State,Per Month,11600.0
115703024,Commercial,Unknown,No,Unknown,1,2,1,1,1,5,5,0,5,612.9583333333334,311.0,Westdene,Bloemfontein,Free State,Per m²,165.0
111506222,Commercial,No,No,Unknown,1,2,1,1,1,5,5,0,5,612.9583333333334,58.0,Westdene,Johannesburg,Gauteng,Per m²,124.0
115537449,House,No,Yes,Unknown,5,4,1,1,1,2,2,0,2,354.0,384.0,Woodland Hills Bergendal,Bloemfontein,Free State,Per Month,28500.0
115020644,Apartment / Flat,No,No,Unknown,2,2,1,1,1,1,1,0,1,354.0,200.0,Lilyvale S H,Bloemfontein,Free State,Per Month,8500.0
115713030,Townhouse,No,No,Unknown,1,1,1,1,1,1,1,0,1,354.0,200.0,Groenvlei SH,Bloemfontein,Free State,Per Month,10000.0
115554789,Townhouse,No,Yes,Unknown,3,1,1,1,1,1,1,0,1,179.5,101.28571428571429,Langenhovenpark,Bloemfontein,Free State,Per Month,8450.0
115583117,Industrial,Unknown,No,Unknown,2,2,1,0,0,0,0,0,0,950.0,950.0,Oos Einde,Bloemfontein,Free State,Per Month,96000.0
